logical_layer,redacted_relative_path,sha256,dimensions,source_experiment,assay_type,contrast,time_point,statistical_method,effect_measure,significance_threshold,originating_script_or_notebook,access_status,may_be_committed,exists,note
transcript differential expression,data/multiomics/Transcriptomics/@Transcriptomics/Tables/DEG_wide_statistics.xlsx,adab2a38a0673d579062d46c05b4b5742799c7764b30d07f98cecb2c4cc35ea9,2191801_bytes,anti-BTLA cross-link bulk RNA-seq,bulk RNA-seq DEG (limma/DESeq wide),BTLA_TCR_vs_TCR; TCR_vs_UC,1h;4h;24h,wide DE statistics,log2FoldChange,padj<0.05 & |log2FC|>=log2(1.5),notebooks/08e_BTLA_candidate_multiomics_evidence.ipynb,RESTRICTED,no,True,TCR_vs_UC contrast not used for BTLA support
protein abundance,data/multiomics/Proteomics/@Proteomics/Tables/WP_DEP_wide_statistics.xlsx,47f6e6339be13d7219e876e5b45734afec20e9514ff1cac69dc31e4751795d36,1182939_bytes,whole-proteome DEP,LC-MS/MS whole proteome (limma DEP),BTLA_TCR_vs_TCR,2mn;20mn;4h;24h,limma moderated t,logFC,adj.P.Val<0.05 & |logFC|>=log2(1.3),notebooks/08e_BTLA_candidate_multiomics_evidence.ipynb,RESTRICTED,no,True,"statistically tested DEP, not detection-only"
phosphosite abundance,data/multiomics/Phosphoproteomics/@Phosphoproteomics/@Tables/DEPPs_All_statistics.xlsx,47d36cd917178a23efed41948e3733a6c4eb3884ca08d22ee233beb09294d4a6,4522495_bytes,phosphoproteome DEPP,LC-MS/MS phosphoproteome (limma DEP per site),BTLA_TCR_vs_TCR,2mn;20mn;4h;24h,limma moderated t (per site),logFC,adj.P.Val<0.05 & |logFC|>=log2(1.3),notebooks/08e_BTLA_candidate_multiomics_evidence.ipynb,RESTRICTED,no,True,site-specific (Gene_STY_canonical); Btla_* sheets only
coimmunoprecipitation,data/multiomics/coIP/@coIP/@Tables/@BTLA_coIP_signif_wide.xlsx,f80a55c2c9da42dbb1821880b75e3914d72114f38bd4bda62a45364ac3b5ac0b,19127_bytes,BTLA co-IP MS,affinity purification MS (pre-filtered 'signif'),BTLA co-IP vs control,NA,limma moderated t-statistic,t_statistic,|t|>2 (pre-filtered signif table; CRAPome not applied),notebooks/08e_BTLA_candidate_multiomics_evidence.ipynb,RESTRICTED,no,True,pulldown membership; direct interaction NOT resolved
inferred TF activity,data/multiomics/Transcriptomics/@Transcriptomics/Tables/TFactivitiesALL.xlsx,7cebab5fa7da43fc04269b283810b8f4b50bc158ba6dbfc76721252f528f78fa,179282_bytes,decoupleR ULM on transcriptome,computational (decoupleR ULM),BTLA_TCR_vs_TCR; TCR_vs_UC; BTLA_TCR_vs_UC,1h;4h;24h,decoupleR ULM,ULM activity score,"p_value<0.05 (raw p, no effect floor)",notebooks/08e_BTLA_candidate_multiomics_evidence.ipynb,RESTRICTED,no,True,derived from transcript expression -> class C
inferred kinase activity,data/multiomics/kinases_ulm_wide.xlsx,missing,,decoupleR ULM on phosphoproteome,computational (decoupleR ULM),BTLA_TCR_vs_TCR,phospho timepoints,decoupleR ULM,ULM activity score,p_value<0.05,notebooks/08e_BTLA_candidate_multiomics_evidence.ipynb,RESTRICTED,no,False,orthogonal (phospho-derived) -> class B; empty for TF candidate set
BIONIC/GNN module,data/multiomics/bionic/GNN BIONIC Integration/Complete Dataset/R_GNN_Umap.xlsx,8e289327dbc2919eb6212e412bf064b12877f304c6785ead24c8951525342020,306293_bytes,BIONIC GNN integration,network integration (GNN) UMAP module,BIONIC_module,NA,module assignment,cluster membership,assignment only (no p/effect),notebooks/08e_BTLA_candidate_multiomics_evidence.ipynb,RESTRICTED,no,True,multi-omic network module; membership only -> class C
early synapse / trafficking,btla-gremln-benchmark/inline_module_list,missing,,curated hypothesis gene list (inline in 08e),curated annotation,hypothesis_module,NA,none,membership,none (curated),notebooks/08e_BTLA_candidate_multiomics_evidence.ipynb,RESTRICTED,yes,False,"curated hypothesis list, NOT measured evidence -> class D"
ATOMIC long evidence (frozen 08e output),results/btla_csls_multiomics/btla_candidate_multiomics_long_evidence.csv,197a9d525957096f735ad6f66a27cfe8aa8ae1e18ce33c0bfda08c3b07d04d74,1164x19,08e aggregation,derived long-form evidence table,multiple,multiple,08e rules,per-row,per-layer (see registry),notebooks/08e_BTLA_candidate_multiomics_evidence.ipynb,RESTRICTED,no,True,one row per candidate x evidence item; audit re-derives classes
LEGACY candidate summary (08e output),results/btla_csls_multiomics/btla_candidate_multiomics_summary.csv,2bafa167d43d1babad1de6067771293b9f8faad75abc6d7af815d6c7a4ee90d5,72x15,08e aggregation,derived candidate summary,multiple,multiple,08e nonempty-string heuristic,per-candidate,n/a,notebooks/08e_BTLA_candidate_multiomics_evidence.ipynb,RESTRICTED,no,True,legacy; audited output replaces this
GREmLN seed-excluded ranking,btla-gremln-benchmark/results/tables/gremln_btla_vs_tcr_seed_excluded_tf_ranking.csv,03776759099031ad84c7967bdce6bea584789e9ae72f02b1d8c5380aafc7f8f7,318x9,GREmLN CSLS scoring,model ranking,BTLA_vs_TCR,NA,CSLS + hypergeometric,gremln_csls_score,n/a,notebooks/08e_BTLA_candidate_multiomics_evidence.ipynb,RESTRICTED,no,True,canonical ranking; evidence cannot alter rank
GENIE3 seed-excluded ranking,btla-gremln-benchmark/results/tables/genie3_btla_vs_tcr_seed_excluded_tf_ranking.csv,a5ca8c3a239c1b4b7fc60178c6216772a28a05fe412fbd258e46b4148ca4cfe6,318x6,GENIE3 GRN scoring,model ranking,BTLA_vs_TCR,NA,GENIE3 importance,genie3_score,n/a,notebooks/08e_BTLA_candidate_multiomics_evidence.ipynb,RESTRICTED,no,True,canonical ranking; evidence cannot alter rank
top25 union (primary),btla-gremln-benchmark/results/publication_data/top25_union_primary.csv,8b8eb562d0e98948407f807101e62410364142904805bd960570eefab5f5c14a,43x8,benchmark freeze,candidate membership,BTLA_vs_TCR,NA,dense-rank top25,membership,n/a,notebooks/08e_BTLA_candidate_multiomics_evidence.ipynb,RESTRICTED,no,True,43-candidate union membership
