TF,candidate_group,TCR_activation__qualifies,TCR_activation__qual_timepoints,TCR_activation__directions,TCR_activation__status,Incremental_BTLA__qualifies,Incremental_BTLA__qual_timepoints,Incremental_BTLA__directions,Incremental_BTLA__status,Combined_BTLA_TCR_vs_UC__status,Combined_BTLA_TCR_vs_UC__qualifies,Combined_BTLA_TCR_vs_UC__qual_timepoints,Combined_BTLA_TCR_vs_UC__directions,n_qualifying_contrasts,transcriptionally_responsive_any_context,responsive_contexts
BHLHE40,GENIE3_specific,False,,,measured_no_qualifying_signal,False,,,measured_no_qualifying_signal,source_unavailable_pending_model,False,,,0,False,
CYCS,GENIE3_specific,False,,,measured_no_qualifying_signal,False,,,measured_no_qualifying_signal,source_unavailable_pending_model,False,,,0,False,
EGR2,GENIE3_specific,True,1h;4h;24h,up,measured_qualifying,False,,,measured_no_qualifying_signal,source_unavailable_pending_model,False,,,1,True,TCR_activation@1h:up;TCR_activation@4h:up;TCR_activation@24h:up
FOXM1,GENIE3_specific,False,,,measured_no_qualifying_signal,False,,,measured_no_qualifying_signal,source_unavailable_pending_model,False,,,0,False,
FOXP1,GENIE3_specific,False,,,measured_no_qualifying_signal,False,,,measured_no_qualifying_signal,source_unavailable_pending_model,False,,,0,False,
GAR1,GENIE3_specific,False,,,measured_no_qualifying_signal,False,,,measured_no_qualifying_signal,source_unavailable_pending_model,False,,,0,False,
GTF2A2,GENIE3_specific,False,,,measured_no_qualifying_signal,False,,,measured_no_qualifying_signal,source_unavailable_pending_model,False,,,0,False,
HIVEP3,GENIE3_specific,True,4h;24h,up,measured_qualifying,False,,,measured_no_qualifying_signal,source_unavailable_pending_model,False,,,1,True,TCR_activation@4h:up;TCR_activation@24h:up
ID2,GENIE3_specific,True,4h,up,measured_qualifying,False,,,measured_no_qualifying_signal,source_unavailable_pending_model,False,,,1,True,TCR_activation@4h:up
MAF,GENIE3_specific,False,,,failed_qc,False,,,measured_no_qualifying_signal,source_unavailable_pending_model,False,,,0,False,
MDM2,GENIE3_specific,False,,,measured_no_qualifying_signal,False,,,measured_no_qualifying_signal,source_unavailable_pending_model,False,,,0,False,
MYC,GENIE3_specific,False,,,measured_no_qualifying_signal,False,,,measured_no_qualifying_signal,source_unavailable_pending_model,False,,,0,False,
NR4A2,GENIE3_specific,False,,,measured_no_qualifying_signal,False,,,measured_no_qualifying_signal,source_unavailable_pending_model,False,,,0,False,
SMAP2,GENIE3_specific,False,,,measured_no_qualifying_signal,False,,,measured_no_qualifying_signal,source_unavailable_pending_model,False,,,0,False,
STAT5B,GENIE3_specific,False,,,measured_no_qualifying_signal,False,,,measured_no_qualifying_signal,source_unavailable_pending_model,False,,,0,False,
TGIF1,GENIE3_specific,False,,,measured_no_qualifying_signal,False,,,measured_no_qualifying_signal,source_unavailable_pending_model,False,,,0,False,
TRAF4,GENIE3_specific,False,,,measured_no_qualifying_signal,False,,,measured_no_qualifying_signal,source_unavailable_pending_model,False,,,0,False,
ZEB2,GENIE3_specific,False,,,measured_no_qualifying_signal,False,,,measured_no_qualifying_signal,source_unavailable_pending_model,False,,,0,False,
AHR,GREmLN_specific,False,,,absent_from_assay_universe,False,,,absent_from_assay_universe,source_unavailable_pending_model,False,,,0,False,
BCL3,GREmLN_specific,False,,,measured_no_qualifying_signal,False,,,measured_no_qualifying_signal,source_unavailable_pending_model,False,,,0,False,
EZH2,GREmLN_specific,False,,,measured_no_qualifying_signal,False,,,measured_no_qualifying_signal,source_unavailable_pending_model,False,,,0,False,
GTF3C2,GREmLN_specific,False,,,measured_no_qualifying_signal,False,,,measured_no_qualifying_signal,source_unavailable_pending_model,False,,,0,False,
HIRIP3,GREmLN_specific,False,,,measured_no_qualifying_signal,False,,,measured_no_qualifying_signal,source_unavailable_pending_model,False,,,0,False,
HMGN3,GREmLN_specific,False,,,measured_no_qualifying_signal,False,,,measured_no_qualifying_signal,source_unavailable_pending_model,False,,,0,False,
KIF22,GREmLN_specific,False,,,measured_no_qualifying_signal,False,,,measured_no_qualifying_signal,source_unavailable_pending_model,False,,,0,False,
MLX,GREmLN_specific,False,,,measured_no_qualifying_signal,False,,,measured_no_qualifying_signal,source_unavailable_pending_model,False,,,0,False,
MSC,GREmLN_specific,False,,,absent_from_assay_universe,False,,,absent_from_assay_universe,source_unavailable_pending_model,False,,,0,False,
NFIL3,GREmLN_specific,False,,,measured_no_qualifying_signal,False,,,measured_no_qualifying_signal,source_unavailable_pending_model,False,,,0,False,
RBPJ,GREmLN_specific,False,,,measured_no_qualifying_signal,False,,,measured_no_qualifying_signal,source_unavailable_pending_model,False,,,0,False,
SNAPC4,GREmLN_specific,False,,,measured_no_qualifying_signal,False,,,measured_no_qualifying_signal,source_unavailable_pending_model,False,,,0,False,
SRP9,GREmLN_specific,False,,,measured_no_qualifying_signal,False,,,measured_no_qualifying_signal,source_unavailable_pending_model,False,,,0,False,
STAT4,GREmLN_specific,False,,,measured_no_qualifying_signal,False,,,measured_no_qualifying_signal,source_unavailable_pending_model,False,,,0,False,
STAU2,GREmLN_specific,False,,,measured_no_qualifying_signal,False,,,measured_no_qualifying_signal,source_unavailable_pending_model,False,,,0,False,
TFDP1,GREmLN_specific,False,,,measured_no_qualifying_signal,False,,,measured_no_qualifying_signal,source_unavailable_pending_model,False,,,0,False,
ZNF121,GREmLN_specific,False,,,measured_no_qualifying_signal,False,,,measured_no_qualifying_signal,source_unavailable_pending_model,False,,,0,False,
ZNF706,GREmLN_specific,False,,,measured_no_qualifying_signal,False,,,measured_no_qualifying_signal,source_unavailable_pending_model,False,,,0,False,
CREM,shared,False,,,measured_no_qualifying_signal,False,,,measured_no_qualifying_signal,source_unavailable_pending_model,False,,,0,False,
IRF8,shared,False,,,measured_no_qualifying_signal,False,,,measured_no_qualifying_signal,source_unavailable_pending_model,False,,,0,False,
JUNB,shared,True,1h;24h,up,measured_qualifying,False,,,measured_no_qualifying_signal,source_unavailable_pending_model,False,,,1,True,TCR_activation@1h:up;TCR_activation@24h:up
PLAGL2,shared,False,,,measured_no_qualifying_signal,False,,,measured_no_qualifying_signal,source_unavailable_pending_model,False,,,0,False,
PRDM1,shared,True,4h,up,measured_qualifying,False,,,measured_no_qualifying_signal,source_unavailable_pending_model,False,,,1,True,TCR_activation@4h:up
STAT1,shared,False,,,measured_no_qualifying_signal,False,,,measured_no_qualifying_signal,source_unavailable_pending_model,False,,,0,False,
ZBTB32,shared,False,,,measured_no_qualifying_signal,False,,,measured_no_qualifying_signal,source_unavailable_pending_model,False,,,0,False,
