TF,is_BTLA_vs_TCR_seed,paperclip_evidence_tier,paperclip_primary_phenotype,tcr_checkpoint_evidence,activation_exhaustion_evidence,btla_specific_evidence,paperclip_direction,paperclip_key_source,paperclip_short_rationale,in_gremln_top25_seed_excluded,in_genie3_top25_seed_excluded,in_gremln_top25_seed_inclusive,in_genie3_top25_seed_inclusive,paperclip_reviewed,query_template
AHR,False,moderate,activation_differentiation,no,yes,no,context_dependent,PMC10089284,AhR regulates ILC/T-cell transcriptional programmes; context-dependent effector/regulatory roles.,True,False,True,False,True,'<TF> transcription factor CD4 T cell activation exhaustion checkpoint BTLA regulation' (+ TF-focused second pass for canonical TFs)
BACH2,True,strong,exhaustion_differentiation,yes,yes,no,restrains_exhaustion,PMC7906956,BACH2 enforces stem-like CD8 fate and prevents terminal exhaustion.,False,False,False,True,True,'<TF> transcription factor CD4 T cell activation exhaustion checkpoint BTLA regulation' (+ TF-focused second pass for canonical TFs)
BCL3,False,moderate,activation_function,no,no,no,context_dependent,PMC10552310,Bcl-3 regulates T-cell energy metabolism and proliferation via mTOR.,True,False,False,False,True,'<TF> transcription factor CD4 T cell activation exhaustion checkpoint BTLA regulation' (+ TF-focused second pass for canonical TFs)
BHLHE40,False,strong,checkpoint_effector,yes,yes,no,promotes_effector,PMC9164498,BHLHE40 is required for T-cell effector function and immune-checkpoint-therapy efficacy.,False,True,False,True,True,'<TF> transcription factor CD4 T cell activation exhaustion checkpoint BTLA regulation' (+ TF-focused second pass for canonical TFs)
CREM,False,moderate,activation_differentiation,no,yes,no,restrains,PMC4770719,CREM is a negative regulator of Th2 responses; deficiency worsens allergic inflammation.,True,True,True,True,True,'<TF> transcription factor CD4 T cell activation exhaustion checkpoint BTLA regulation' (+ TF-focused second pass for canonical TFs)
CYCS,False,none,none,no,no,no,na,,Cytochrome c; not a transcription factor / no T-cell TF role.,False,True,False,True,True,'<TF> transcription factor CD4 T cell activation exhaustion checkpoint BTLA regulation' (+ TF-focused second pass for canonical TFs)
EGR2,False,strong,exhaustion,yes,yes,no,promotes_exhaustion,PMC8119420,EGR2 is induced by chronic antigen and required for exhausted CD8 stability/maintenance.,False,True,False,True,True,'<TF> transcription factor CD4 T cell activation exhaustion checkpoint BTLA regulation' (+ TF-focused second pass for canonical TFs)
ETV3L,False,none,none,no,no,no,na,,No TF-specific T-cell literature retrieved.,True,False,True,False,True,'<TF> transcription factor CD4 T cell activation exhaustion checkpoint BTLA regulation' (+ TF-focused second pass for canonical TFs)
EZH2,False,strong,differentiation_epigenetic,yes,yes,no,context_dependent,PMC7574680,EZH2 epigenetically regulates CD8 T-cell fate and function.,True,False,True,False,True,'<TF> transcription factor CD4 T cell activation exhaustion checkpoint BTLA regulation' (+ TF-focused second pass for canonical TFs)
FOXM1,False,moderate,proliferation,no,no,no,promotes_proliferation,PMC2821927,FoxM1 is a master cell-cycle regulator for mature T cells.,False,True,False,True,True,'<TF> transcription factor CD4 T cell activation exhaustion checkpoint BTLA regulation' (+ TF-focused second pass for canonical TFs)
FOXP1,False,strong,quiescence_exhaustion,yes,yes,no,context_dependent,PMC9576946,"FOXP1 regulates T-cell quiescence, differentiation and exhaustion.",False,True,False,True,True,'<TF> transcription factor CD4 T cell activation exhaustion checkpoint BTLA regulation' (+ TF-focused second pass for canonical TFs)
GAR1,False,none,none,no,no,no,na,,H/ACA ribonucleoprotein; not a T-cell TF.,False,True,False,True,True,'<TF> transcription factor CD4 T cell activation exhaustion checkpoint BTLA regulation' (+ TF-focused second pass for canonical TFs)
GTF2A2,False,none,none,no,no,no,na,,"General transcription factor IIA; housekeeping, no T-cell-specific role.",False,True,False,False,True,'<TF> transcription factor CD4 T cell activation exhaustion checkpoint BTLA regulation' (+ TF-focused second pass for canonical TFs)
GTF3C2,False,none,none,no,no,no,na,,General transcription factor IIIC; housekeeping.,False,False,True,False,True,'<TF> transcription factor CD4 T cell activation exhaustion checkpoint BTLA regulation' (+ TF-focused second pass for canonical TFs)
HIRIP3,False,none,none,no,no,no,na,,Histone-related; no T-cell TF literature retrieved.,True,False,True,False,True,'<TF> transcription factor CD4 T cell activation exhaustion checkpoint BTLA regulation' (+ TF-focused second pass for canonical TFs)
HIVEP3,False,weak,general_tcell,no,no,no,context_dependent,PMC4255756,Appears only in general T-helper lineage reviews; no TF-specific T-cell paper retrieved.,False,True,False,True,True,'<TF> transcription factor CD4 T cell activation exhaustion checkpoint BTLA regulation' (+ TF-focused second pass for canonical TFs)
HMGN3,False,none,none,no,no,no,na,,No HMGN3-specific T-cell literature (HMGB2 is the related exhaustion factor).,True,False,True,False,True,'<TF> transcription factor CD4 T cell activation exhaustion checkpoint BTLA regulation' (+ TF-focused second pass for canonical TFs)
ID2,False,strong,differentiation_exhaustion,yes,yes,no,promotes,PMC10902300,Id2 controls CD8 exhaustion (Tcf3-LSD1) and reinforces Th1 differentiation.,False,True,False,True,True,'<TF> transcription factor CD4 T cell activation exhaustion checkpoint BTLA regulation' (+ TF-focused second pass for canonical TFs)
IRF8,False,moderate,differentiation,no,yes,no,restrains_Th17,PMC3112536,IRF8 directs a silencing programme restraining Th17 differentiation.,True,True,True,True,True,'<TF> transcription factor CD4 T cell activation exhaustion checkpoint BTLA regulation' (+ TF-focused second pass for canonical TFs)
JUNB,False,strong,activation_treg,yes,yes,no,promotes_effector,PMC11884676,JunB is required for CD8 effector responses and effector-Treg homeostasis (BATF/IRF4).,True,True,True,True,True,'<TF> transcription factor CD4 T cell activation exhaustion checkpoint BTLA regulation' (+ TF-focused second pass for canonical TFs)
KIF22,False,none,none,no,no,no,na,,Kinesin motor protein; not a transcription factor.,True,False,True,False,True,'<TF> transcription factor CD4 T cell activation exhaustion checkpoint BTLA regulation' (+ TF-focused second pass for canonical TFs)
MAF,False,strong,checkpoint_tolerance,yes,yes,no,context_dependent,PMC7033575,c-Maf is a multifaceted checkpoint/tolerance TF across T-cell subsets.,False,True,False,False,True,'<TF> transcription factor CD4 T cell activation exhaustion checkpoint BTLA regulation' (+ TF-focused second pass for canonical TFs)
MDM2,False,moderate,treg,no,no,no,context_dependent,PMC7318079,MDM2 stabilises FOXP3 and modulates human regulatory T-cell function.,False,True,False,True,True,'<TF> transcription factor CD4 T cell activation exhaustion checkpoint BTLA regulation' (+ TF-focused second pass for canonical TFs)
MLX,False,none,none,no,no,no,na,,Max-like protein X (metabolic bHLH); no T-cell TF role retrieved.,True,False,True,False,True,'<TF> transcription factor CD4 T cell activation exhaustion checkpoint BTLA regulation' (+ TF-focused second pass for canonical TFs)
MSC,False,none,none,no,no,no,na,,No Musculin(MSC) T-cell TF literature retrieved (hit was mesenchymal stromal cells).,True,False,True,False,True,'<TF> transcription factor CD4 T cell activation exhaustion checkpoint BTLA regulation' (+ TF-focused second pass for canonical TFs)
MYC,False,moderate,activation_metabolism,no,yes,no,promotes_activation,PMC6938709,c-Myc is essential for Treg homeostasis and transitional activation (metabolism).,False,True,False,True,True,'<TF> transcription factor CD4 T cell activation exhaustion checkpoint BTLA regulation' (+ TF-focused second pass for canonical TFs)
NFIL3,False,strong,treg_differentiation,yes,yes,no,context_dependent,PMC6802641,NFIL3 controls Treg function/stability by downregulating Foxp3.,True,False,True,False,True,'<TF> transcription factor CD4 T cell activation exhaustion checkpoint BTLA regulation' (+ TF-focused second pass for canonical TFs)
NR4A2,False,strong,tcr_induced_differentiation,yes,yes,no,promotes,PMC7883379,"NR4A family is TCR-induced and shapes T-cell differentiation, exhaustion and Treg fate.",False,True,False,True,True,'<TF> transcription factor CD4 T cell activation exhaustion checkpoint BTLA regulation' (+ TF-focused second pass for canonical TFs)
NR4A3,True,strong,tcr_induced_differentiation,yes,yes,no,promotes,PMC7883379,"NR4A family is TCR-induced and shapes T-cell differentiation, exhaustion and Treg fate.",False,False,False,True,True,'<TF> transcription factor CD4 T cell activation exhaustion checkpoint BTLA regulation' (+ TF-focused second pass for canonical TFs)
PLAGL2,False,none,none,no,no,no,na,,No T-cell TF literature retrieved.,True,True,True,True,True,'<TF> transcription factor CD4 T cell activation exhaustion checkpoint BTLA regulation' (+ TF-focused second pass for canonical TFs)
POU2AF1,True,moderate,differentiation,no,yes,no,restrains,PMC12069319,OCA-B/Pou2af1 restricts Th2 differentiation (via GATA3).,False,False,False,True,True,'<TF> transcription factor CD4 T cell activation exhaustion checkpoint BTLA regulation' (+ TF-focused second pass for canonical TFs)
POU2F2,True,weak,general_tcell,no,no,no,context_dependent,PMC7387970,Appears only in general Tfh differentiation reviews; no TF-specific paper retrieved.,False,False,False,True,True,'<TF> transcription factor CD4 T cell activation exhaustion checkpoint BTLA regulation' (+ TF-focused second pass for canonical TFs)
PRDM1,False,strong,hyporesponsiveness_exhaustion,yes,yes,no,promotes_exhaustion,PMC9097451,PRDM1/Blimp-1 drives human T-cell hyporesponsiveness (transcriptome/epigenome).,True,True,True,False,True,'<TF> transcription factor CD4 T cell activation exhaustion checkpoint BTLA regulation' (+ TF-focused second pass for canonical TFs)
RBPJ,False,moderate,notch_signaling,no,yes,no,context_dependent,PMC9371899,RBPJ is the Notch effector TF (co-activator/repressor); Notch shapes T-cell fate.,True,False,True,False,True,'<TF> transcription factor CD4 T cell activation exhaustion checkpoint BTLA regulation' (+ TF-focused second pass for canonical TFs)
REL,True,strong,activation_differentiation,yes,yes,no,promotes_effector,PMC3310234,c-Rel (NF-kB) is central to T-lymphocyte differentiation and effector functions.,False,False,False,True,True,'<TF> transcription factor CD4 T cell activation exhaustion checkpoint BTLA regulation' (+ TF-focused second pass for canonical TFs)
SMAP2,False,none,none,no,no,no,na,,ArfGAP (SMAP2); not a transcription factor.,False,True,False,True,True,'<TF> transcription factor CD4 T cell activation exhaustion checkpoint BTLA regulation' (+ TF-focused second pass for canonical TFs)
SNAPC4,False,none,none,no,no,no,na,,"snRNA-activating complex; housekeeping, no T-cell TF role.",True,False,True,False,True,'<TF> transcription factor CD4 T cell activation exhaustion checkpoint BTLA regulation' (+ TF-focused second pass for canonical TFs)
SRP9,False,none,none,no,no,no,na,,Signal recognition particle 9; not a transcription factor.,True,False,True,False,True,'<TF> transcription factor CD4 T cell activation exhaustion checkpoint BTLA regulation' (+ TF-focused second pass for canonical TFs)
STAT1,False,strong,differentiation_th1,yes,yes,no,promotes_Th1,PMC8250105,STAT1 is crucial for Th1 differentiation and anti-tumour function.,True,True,True,True,True,'<TF> transcription factor CD4 T cell activation exhaustion checkpoint BTLA regulation' (+ TF-focused second pass for canonical TFs)
STAT4,False,strong,differentiation_th1,yes,yes,no,promotes,PMC7097918,STAT4 is an immunoregulator central to Th1 and autoimmune/inflammatory disease.,True,False,True,False,True,'<TF> transcription factor CD4 T cell activation exhaustion checkpoint BTLA regulation' (+ TF-focused second pass for canonical TFs)
STAT5B,False,moderate,function,no,yes,no,promotes,PMC3907443,STAT5B target genes in human T cells enrich for immune function/proliferation.,False,True,False,False,True,'<TF> transcription factor CD4 T cell activation exhaustion checkpoint BTLA regulation' (+ TF-focused second pass for canonical TFs)
STAU2,False,none,none,no,no,no,na,,Staufen-2 RNA-binding protein; not a transcription factor.,True,False,True,False,True,'<TF> transcription factor CD4 T cell activation exhaustion checkpoint BTLA regulation' (+ TF-focused second pass for canonical TFs)
TBX21,True,strong,differentiation_th1,yes,yes,no,promotes_Th1_effector,PMC4036734,T-bet (TBX21) is the master Th1/effector TF regulating cytokine production.,False,False,False,True,True,'<TF> transcription factor CD4 T cell activation exhaustion checkpoint BTLA regulation' (+ TF-focused second pass for canonical TFs)
TFDP1,False,none,none,no,no,no,na,,DP-1 (E2F partner) cell-cycle factor; no immune-specific role retrieved.,True,False,True,False,True,'<TF> transcription factor CD4 T cell activation exhaustion checkpoint BTLA regulation' (+ TF-focused second pass for canonical TFs)
TGIF1,False,none,none,no,no,no,na,,TGFB-induced homeobox 1; no T-cell TF literature retrieved.,False,True,False,False,True,'<TF> transcription factor CD4 T cell activation exhaustion checkpoint BTLA regulation' (+ TF-focused second pass for canonical TFs)
TRAF4,False,none,none,no,no,no,na,,TNF-receptor-associated adaptor; not a transcription factor.,False,True,False,False,True,'<TF> transcription factor CD4 T cell activation exhaustion checkpoint BTLA regulation' (+ TF-focused second pass for canonical TFs)
ZBTB32,False,weak,lymphocyte,no,no,no,context_dependent,PMC5869932,ZBTB family regulates lymphocyte responses (evidence mainly B-cell).,True,True,True,True,True,'<TF> transcription factor CD4 T cell activation exhaustion checkpoint BTLA regulation' (+ TF-focused second pass for canonical TFs)
ZEB2,False,strong,differentiation_effector,yes,yes,no,promotes_effector,PMC4647262,ZEB2 (downstream of T-bet) drives terminal CD8 effector/memory differentiation.,False,True,False,True,True,'<TF> transcription factor CD4 T cell activation exhaustion checkpoint BTLA regulation' (+ TF-focused second pass for canonical TFs)
ZNF121,False,none,none,no,no,no,na,,No T-cell TF literature retrieved.,True,False,True,False,True,'<TF> transcription factor CD4 T cell activation exhaustion checkpoint BTLA regulation' (+ TF-focused second pass for canonical TFs)
ZNF706,False,none,none,no,no,no,na,,No T-cell TF literature retrieved (Zbtb20 is the related memory-CD8 factor).,True,False,True,False,True,'<TF> transcription factor CD4 T cell activation exhaustion checkpoint BTLA regulation' (+ TF-focused second pass for canonical TFs)
