TF,candidate_group,in_gremln_top25,in_genie3_top25,exact_query,papers_retrieved,papers_relevant,primary_relevant_papers,direct_causal_papers,judge_tier,rubric_valid,rubric_reasons,final_usable_tier,key_paper_ids,tier_rationale,confidence,judge_input_sha256,judge_output_sha256,model_id,prompt_sha256
AHR,gremln_only,True,False,AHR TCR inhibition,10,2,2,1,moderate,True,,moderate,PMC7419300;PMC3412388,"PMC7419300 is a primary study with direct perturbational evidence (AHR blockade) that AHR promotes an inhibitory checkpoint/Treg suppressive axis, including PD-1 up-regulation in CD8+ T cells, but it lacks a proximal TCR-signalling readout, so it is relevant-but-incomplete rather than direct TCR inhibition. PMC3412388 adds causal AhR-/- evidence of immunosuppression/Treg-associated differentiation. No primary study demonstrates direct causal AHR effects on proximal TCR signalling or TCR-linked anergy with a mechanistic TCR readout, so strong is not met; between tiers the lower is chosen but a relevant primary causal inhibitory-checkpoint study supports moderate.",moderate,31287af42d52026e6ca1491018f459fb9ed4790154adfacf0132df218222075e,8596a016832b4cbfae11fc650b27b451cfe98c90f3d6806e669bd485ebe77b10,claude-4.5-sonnet,baa3767bd5a4684a639b08937ce91f30256753bca5e451d7ad5ca8216d3aa251
BCL3,gremln_only,True,False,BCL3 TCR inhibition,10,4,3,3,moderate,True,,moderate,PMC5414353;PMC12646068;PMC2660861,"Primary murine studies give direct perturbational (overexpression/CRISPR) evidence that Bcl-3 impairs Treg development/function and drives loss of tolerance (colitis, autoimmune diabetes), i.e. causal effects in a related inhibitory T cell context. Transgenic Bcl-3 also cell-intrinsically slows early T cell activation. However, no study directly measures proximal TCR signalling inhibition, checkpoint response, or TCR-linked anergy/hyporesponsiveness with a mechanistic TCR readout, so the evidence is relevant but incomplete for strong. Reviews cannot support higher tiers.",moderate,f8cc7629768a378c21ca9c5f5dd667ee6836ac1964b180dcc299fc2c2734d489,ea64230612ae8bce74438786d26d189f720259d3ba6f1748d23a9eb9ed89d76f,claude-4.5-sonnet,baa3767bd5a4684a639b08937ce91f30256753bca5e451d7ad5ca8216d3aa251
BHLHE40,genie3_only,False,True,BHLHE40 TCR inhibition,10,5,5,5,weak,True,,weak,PMC10153201;PMC12632895;PMC9164498;PMC8293608,"No retrieved primary study provides direct causal evidence that altering BHLHE40 changes proximal TCR signalling, an inhibitory checkpoint response, or TCR-linked anergy/hyporesponsiveness with a functional TCR readout. The most relevant primary papers concern exhaustion differentiation (PMC10153201, PMC12632895) and checkpoint-therapy effector function (PMC9164498, PMC8293608), but exhaustion is not accompanied by explicit demonstration of impaired/attenuated TCR function, and BHLHE40 largely sustains effector programs and represses the inhibitory IL-10/Tr1 axis, i.e. it tends to oppose inhibition. Remaining evidence is general T cell activation/differentiation or non-T-cell systems. Per the mandatory rules (exhaustion insufficient without demonstrated TCR impairment; activation/differentiation insufficient for moderate; assign lower tier when between two), the tier is weak.",moderate,08cc78928b4a685f0991dad908281af23f5c116015a44bdbdb0ed2ebe29101ef,39915d1d0a6427c9c64426247556012e630c1dd23f247377da900bc2456543a3,claude-4.5-sonnet,baa3767bd5a4684a639b08937ce91f30256753bca5e451d7ad5ca8216d3aa251
CREM,shared,True,True,CREM TCR inhibition,10,1,1,0,moderate,True,,moderate,PMC5165720;PMC12286855,"Only one primary T cell study (PMC5165720) materially links CREM to proximal TCR machinery, showing direct CREMα binding and repression of the CD3ζ chain plus negative IL-2 regulation. This provides indirect mechanistic evidence connecting CREM to attenuation of a proximal TCR component, but the functional outcome is paradoxically enhanced signalling, so directness toward TCR inhibition is incomplete. The NK checkpoint study (PMC12286855) gives clean perturbational evidence but is a non-T-cell, non-TCR system. Remaining CREM T cell papers address TH2/Th17 differentiation or inflammatory effector phenotypes, which are insufficient for moderate. No primary study delivers clean direct causal TCR inhibition with an inhibitory functional readout, so strong is not met; the mechanistic CD3ζ link exceeds weak. Applying the lower-tier rule where ambiguous.",low,e315bb03793aba4a6dd6ac25861058c997c2bce35834b7078c1b4fc265aba93c,c23c24052df25f3e0ba890f619ddd3fd9bda0d7b0f498ccb095f4d496c93c0ec,claude-4.5-sonnet,baa3767bd5a4684a639b08937ce91f30256753bca5e451d7ad5ca8216d3aa251
CYCS,genie3_only,False,True,CYCS TCR inhibition,10,0,0,0,none,True,,none,,"No retrieved primary study perturbs or mechanistically links CYCS to TCR signalling inhibition or a related inhibitory T cell phenotype. The two CYCS-containing papers (PMC12546133, PMC11637729) concern cardiac and platelet apoptosis in non-immune systems, while the papers addressing TCR inhibition/attenuation (PMC11237943, PMC6670834, PMC2768903) involve other regulators (PTPN22, Cdc7/Cdk9, mitochondrial antagonists) and do not test CYCS.",moderate,5ea0a59122e5ecf950be61f85231704f4dbe27059c99bdd8c793411d2632a9cd,460b2a9889c736e61912f01218c40534c68eb3caeaff204893231137c78fa2d1,claude-4.5-sonnet,baa3767bd5a4684a639b08937ce91f30256753bca5e451d7ad5ca8216d3aa251
EGR2,genie3_only,False,True,EGR2 TCR inhibition,10,4,4,2,strong,True,,strong,PMC3501351;PMC5439026;PMC5946152;PMC2944839,"PMC3501351 is a primary experimental study providing direct perturbational evidence that Egr2 deletion prevents T cell anergy induction (a TCR-linked hyporesponsive state) and restores proximal Ras/MAPK signalling via DGKα, satisfying the requirement for direct causal evidence with a mechanistic readout on TCR-linked hyporesponsiveness. It is corroborated by additional primary Egr2/3 studies in tolerant/effector T cells (PMC5946152, PMC5439026, PMC2944839), consistently showing Egr2 promotes inhibitory/tolerogenic T cell control.",high,9b71bde7a75fddac5ce271935337ce6d2c68e69f9f7e84ad19b7243537b393c6,2e30ecc97b0f71151292f63ad80796d692af81a84ad15585c1fd09a45c6d9f46,claude-4.5-sonnet,baa3767bd5a4684a639b08937ce91f30256753bca5e451d7ad5ca8216d3aa251
EZH2,gremln_only,True,False,EZH2 TCR inhibition,10,2,1,1,moderate,True,,moderate,PMC6094952,"Only one primary study (PMC6094952) addresses T cells: genetic and pharmacologic EZH2 disruption causally reprograms the suppressive program of tumor-infiltrating Tregs, i.e., causal evidence in a related inhibitory T cell context. However it demonstrates no direct proximal TCR signalling inhibition, checkpoint, or TCR-linked anergy experiment, so strong is not met. This fits the moderate criterion (causal evidence in a related inhibitory T cell context but not a direct TCR inhibition experiment). All other papers are non-T-cell oncology studies or a review that cannot support a tier.",moderate,b04e8cfe4d8c0f0108247808567bab537e5faff555964c6cedc87e4cbc6d0c23,ca871b22262845a1d1df311e8f33b10583e320ec362ae1f2946f9fcfa9b5496e,claude-4.5-sonnet,baa3767bd5a4684a639b08937ce91f30256753bca5e451d7ad5ca8216d3aa251
FOXM1,genie3_only,False,True,FOXM1 TCR inhibition,10,3,3,0,moderate,True,,moderate,PMC12515241;PMC9561767,"Two primary studies (PMC12515241, PMC9561767) provide perturbational evidence (FOXM1 knockdown/inhibition) that FOXM1 upregulates the PD-L1 inhibitory checkpoint and thereby suppresses CD8+ T cell activation and function, with functional readouts. This is indirect mechanistic evidence materially connecting FOXM1 to an inhibitory checkpoint T cell phenotype, but FOXM1 acts tumor-intrinsically rather than within T cells, and no study demonstrates direct proximal TCR-signalling inhibition, anergy or hyporesponsiveness. Directness is therefore incomplete, so evidence sits at moderate rather than strong; remaining relevant paper (PMC12236922) shows only generic T cell activation/differentiation.",moderate,7237725c87f9eb559e16908cb7a1f5421048a37034f64e21cb15615506a94f3f,396daa5b4400d7b796e218a198200fe23d09ef26d6e2b59751807c04d5018168,claude-4.5-sonnet,baa3767bd5a4684a639b08937ce91f30256753bca5e451d7ad5ca8216d3aa251
FOXP1,genie3_only,False,True,FOXP1 TCR inhibition,10,4,3,3,moderate,True,,moderate,PMC6534289;PMC12487849;PMC13105002,"Multiple primary mouse studies provide direct perturbational (genetic deletion) evidence that FOXP1 promotes regulatory T cell suppressive function and homeostasis, including CTLA-4 regulation. This is causal evidence in a related inhibitory T cell context, but no supplied primary study demonstrates direct attenuation of proximal TCR signalling, anergy/hyporesponsiveness, or a TCR-linked checkpoint response in effector cells. Because the evidence concerns Treg suppression rather than direct TCR inhibition and sits between strong and moderate, the lower tier is assigned. The relevant review (PMC9576946) cannot elevate the tier.",moderate,e40a8e352e904de70efd9ca4687c04190c74f69e3a824bac208e182c33c150dd,49dc2386e472bcf80111121132cb45ba5b6629dcb82e97f7f9d4d779d625747f,claude-4.5-sonnet,baa3767bd5a4684a639b08937ce91f30256753bca5e451d7ad5ca8216d3aa251
GAR1,genie3_only,False,True,GAR1 TCR inhibition,10,0,0,0,none,True,,none,,"No retrieved paper materially links GAR1 to TCR inhibition or a related inhibitory T cell phenotype. The single GAR1 paper (PMC12603805) is a Drosophila gene-model report with no immune content. The remaining nine are TCR-engineering, immunotherapy, signal-strength, or computational studies that never involve GAR1; one true TCR-inhibition study concerns PTPN22, not the candidate. Retrieval reflects keyword collisions ('Gar1' gene and 'TCR') rather than genuine GAR1 T cell evidence.",high,ba701e7c34db685220fc3b2efb879ca7ea655daa10394e06c98c2c6da0f10068,355728c6256058e02a8327cd5065861968b1b4e9a329b482b1ceac75627bcc01,claude-4.5-sonnet,baa3767bd5a4684a639b08937ce91f30256753bca5e451d7ad5ca8216d3aa251
GTF2A2,genie3_only,False,True,GTF2A2 TCR inhibition,10,0,0,0,none,True,,none,,"No retrieved paper mentions or studies GTF2A2, so none materially links the candidate to TCR inhibition or a related inhibitory T cell phenotype. Retrieval is driven by 'TCR' keyword collisions: the hits are TCR engineering, adoptive immunotherapy, checkpoint (PTPN22, BTLA/PD-1), computational TCR design and kinase-inhibitor studies of other molecules. The genuine TCR-inhibition papers concern PTPN22 and BTLA/PD-1, not GTF2A2. No primary study provides direct, indirect, or associative evidence about the regulator.",high,2749f4a3a73650e2ffb3e8bc25de6841a5a8e5f7ec89ba14d5cd1943a010fd0b,22ffc8824d8089adff4043db99b79704f7997b22ec06f3c312cc0a6f3a308ad4,claude-4.5-sonnet,baa3767bd5a4684a639b08937ce91f30256753bca5e451d7ad5ca8216d3aa251
GTF3C2,gremln_only,True,False,GTF3C2 TCR inhibition,10,0,0,0,none,True,,none,,"No retrieved primary study links GTF3C2 to TCR inhibition or a related inhibitory T cell phenotype. The single GTF3C2 paper (PMC12078175) studies hepatocellular carcinoma proliferation in non-immune cells. All other papers concern TCR engineering, immunotherapy, or computation without involving GTF3C2, and the only genuine TCR-inhibition study (PMC11237943) is about PTPN22, a different regulator. Evidence for GTF3C2 is therefore absent.",high,208e6b8ed4508d651c994f13fba597ae3eaf0bf4a12dda5912d2f284209bf78a,7b4a0d624f80f5ff45fe7032ff78f3f0a1b675878847483471afe54e552e0ec6,claude-4.5-sonnet,baa3767bd5a4684a639b08937ce91f30256753bca5e451d7ad5ca8216d3aa251
HIRIP3,gremln_only,True,False,HIRIP3 TCR inhibition,10,0,0,0,none,True,,none,,"The three papers that actually study HIRIP3 (PMC10854748 histone H2A chaperone, PMC11890862 INO80E/HIRIP3 gene expression, PMC12179093 Alzheimer's biomarker) concern chromatin biology, transcription and neurodegeneration with no T cell or TCR content. The TCR-relevant papers (PMC7860602, PMC3842781, PMC2212737, PMC11237943, PMC2196323, PMC12346228, PMC11092459) address other molecules (Lck, PTPN22, viral Tip, TrIP) and never mention HIRIP3. No retrieved primary study materially links HIRIP3 to TCR inhibition or a related inhibitory T cell phenotype.",high,d59cb7a134dfcfdf3271e9719a12f39cf7aae7f6c869e73269649a4ee1494ee3,43cfcaa6c8e61c3d8a5393b6252044b37968ad9faf130147adb4a7cd3805ed8e,claude-4.5-sonnet,baa3767bd5a4684a639b08937ce91f30256753bca5e451d7ad5ca8216d3aa251
HIVEP3,genie3_only,False,True,HIVEP3 TCR inhibition,10,0,0,0,none,True,,none,,"None of the 10 retrieved papers mention or study HIVEP3. Although several address TCR inhibition or inhibitory phenotypes (PTPN22, PD-1, BTLA, exhaustion), all concern other regulators. No retrieved primary study materially links HIVEP3 to TCR inhibition or a closely related inhibitory T cell phenotype, so no evidence tier is assigned.",high,83486330e62f5e4bfd6c7a43df40e715222a76b8ed6b4ad61798b1fe496ebb3a,d53423561a3df741799b88c3170c333c3e895ea6bf3f0b35a19bc5c79a489c51,claude-4.5-sonnet,baa3767bd5a4684a639b08937ce91f30256753bca5e451d7ad5ca8216d3aa251
HMGN3,gremln_only,True,False,HMGN3 TCR inhibition,10,0,0,0,none,True,,none,,"No retrieved paper studies HMGN3. The results concern distinct molecules (PTPN22, HMGN1, HMGN2, HMGB2, PCSK9) or generic TCR/immunotherapy topics. None provide primary experimental, computational, or associative evidence materially linking HMGN3 to TCR-signalling inhibition or a closely related inhibitory T cell phenotype, so no tier above none can be supported.",high,e1c3d2b0e91de4fc4b03c08a1d48b6acdbeb6b7abeab9d56a1f57b1869fcaad8,76710db7683d7d1fe845c53007631fd3c8824eb61da19f08fcdef416949da579,claude-4.5-sonnet,baa3767bd5a4684a639b08937ce91f30256753bca5e451d7ad5ca8216d3aa251
ID2,genie3_only,False,True,ID2 TCR inhibition,10,1,1,1,weak,True,,weak,PMC10902300,"Only PMC10902300 is a primary study addressing an inhibitory T cell phenotype (CD8+ exhaustion) and provides causal Id2-knockout evidence affecting exhausted-subset generation and PD-1-blockade response. However, it does not explicitly demonstrate impaired or attenuated TCR function, so under the mandatory exhaustion rule it cannot support moderate. All remaining relevant papers concern general T-cell activation, IFN-γ production, or lineage/helper differentiation (PMC11885165, PMC4915968, PMC12147642), non-T systems (NK, dendritic, prostate, thyroid), a different regulator (Id3, PMC2824806), or are a review (PMC3061294). No primary study links ID2 to proximal TCR-signalling inhibition, an inhibitory checkpoint, or TCR-linked anergy/hyporesponsiveness with a functional TCR readout; where evidence lies between tiers the lower is assigned, giving weak.",moderate,1db45017c93cc228e3e2a05cdaed1a5d9c86e4ceb298262892eb07ebdfecac27,c7dd7b0ef7dfd1775e5cebc78caef7f7989aef8cc4207ee96e78209c6908c9ca,claude-4.5-sonnet,baa3767bd5a4684a639b08937ce91f30256753bca5e451d7ad5ca8216d3aa251
IRF8,shared,True,True,IRF8 TCR inhibition,10,0,0,0,weak,True,,weak,PMC3112536;PMC5727025;PMC9454819,"No retrieved primary study provides direct causal, indirect mechanistic, or even associative evidence linking IRF8 to proximal TCR signalling inhibition, an inhibitory checkpoint response, TCR-linked anergy/hyporesponsiveness, or exhaustion with demonstrated impaired TCR function. The only T-cell-intrinsic primary studies (PMC3112536, PMC5727025) concern Th17/Th9 lineage differentiation, which the rubric classes as weak-tier (differentiation/lineage specification). Remaining evidence is non-T-cell (myeloid, hepatocyte, tumor, B-cell, microglia), a review (PMC9454819), or an expression-correlation computational study (PMC11190126). Under the mandatory rules, differentiation and expression correlations are insufficient for moderate, and reviews/computational inference cannot raise the tier; the presence of T-cell differentiation primary studies supports weak over none.",high,e821e9f880703f7d6c6386a802e81a9f71e04b0c2e0f3f7dd1d1acf97150dd7b,9c025dd5189d527a258cb2855faae1d45c8263145d6b274ba96bcb5678ce3aa8,claude-4.5-sonnet,baa3767bd5a4684a639b08937ce91f30256753bca5e451d7ad5ca8216d3aa251
JUNB,shared,True,True,JUNB TCR inhibition,10,2,2,2,moderate,True,,moderate,PMC11884676;PMC11496645,"Two primary studies materially link JunB to inhibitory T cell phenotypes: JunB deficiency raises co-inhibitory receptors PD-1/TIM3 in mouse CD8+ T cells (PMC11884676), and JunB perturbation drives CAR-T exhaustion/anergy gene programs (PMC11496645). Both provide relevant but incomplete evidence: neither directly demonstrates altered proximal TCR signalling, one is checkpoint-receptor expression only and the other is CAR (not TCR) signalling without explicit impaired-TCR-function readout. This meets moderate but not the strong requirement of direct causal TCR inhibition with a functional readout; between tiers, the lower tier applies.",moderate,ade9ef4c0aeafab802c4c2f602761c47c17b6c5525cf6cd402f91bbcce970cad,b1947688b78b893c4a0cd8bd13a7937dd36a2159d25aa97f82385d1dd80c8ab0,claude-4.5-sonnet,baa3767bd5a4684a639b08937ce91f30256753bca5e451d7ad5ca8216d3aa251
KIF22,gremln_only,True,False,KIF22 TCR inhibition,10,0,0,0,none,True,,none,,"No retrieved paper materially links KIF22 to TCR inhibition or a closely related inhibitory T cell phenotype. KIF22 papers (PMC11233920, PMC7176455, PMC11076398, PMC6996685) address mitosis/proliferation in non-T-cell cancer or chondrocyte systems. TCR-inhibition-relevant papers concern other genes/topics: PMC11237943 is PTPN22, PMC12346228 is a TCR-repertoire review, and PMC11014665 is TCR-T therapy. PMC9398805, PMC10824666 and PMC10907621 concern KIF11/KIF18A. None provide primary causal evidence connecting KIF22 to TCR signalling inhibition, checkpoint response, anergy, or exhaustion with impaired TCR function.",high,f0f8305c28f6b609423ab88ab83e2302753eeea0d1981118b2dfb5505bbd297e,1b40a12b936a04cec8623b47e9191e45400923ec19fcd4b69536f2bac1dfcd06,claude-4.5-sonnet,baa3767bd5a4684a639b08937ce91f30256753bca5e451d7ad5ca8216d3aa251
MAF,genie3_only,False,True,MAF TCR inhibition,10,2,1,1,weak,True,,weak,PMC6468010;PMC12689506,"MAF-specific primary evidence is limited to Treg/TH17 differentiation and Treg suppressive function (PMC6468010) and lineage programming (PMC12726077); no primary study demonstrates that altering MAF changes proximal TCR-signalling inhibition, a checkpoint response on the T cell, or TCR-linked anergy/hyporesponsiveness with a functional TCR readout. The immune-checkpoint framing appears only in a review (PMC12689506), which cannot support moderate. Remaining TCR-inhibition papers do not involve MAF. Between weak and moderate, the lower tier is assigned.",moderate,e6d6c1f08b60a4361377b3c8168ac673d3eb6a5c98bf42cfdc9ac00a43faead1,9551e9be92c0cc6a1c8efd5f87a5faddcdaadd441ce25ae17f5e749dc02e8655,claude-4.5-sonnet,baa3767bd5a4684a639b08937ce91f30256753bca5e451d7ad5ca8216d3aa251
